id	type	name_x1	name_y1	name_x2	name_y2	value_x1	value_y1	value_x2	value_y2
1	capacitor	0	0	17	20	0	38	17	59
2	spst	24	18	39	36	24	18	39	36
3	spdt	33	9	59	22	33	9	59	22
4	dpdt2	0	0	30	15	0	0	30	15
5	dpdt1	0	0	30	15	0	0	30	15
6	connector	22	0	39	11	22	30	39	36
7	dc_voltage_supply	37	17	48	29	37	32	49	42
8	battery	37	17	48	29	37	32	49	42
9	dip4	10	2	50	11	10	47	50	57
10	dip6	10	2	50	11	10	67	50	77
11	dip8	10	2	50	11	10	87	50	97
12	dip10	10	2	50	11	10	107	50	117
13	dip12	10	2	50	11	10	127	50	137
14	dip14	10	2	50	11	10	147	50	157
15	dip16	10	2	50	11	10	167	50	177
16	dip8_opamp_single	10	2	50	11	10	87	50	97
17	dip8_opamp_dual	10	2	50	11	10	87	50	97
18	ldr	29	9	39	25	29	33	39	50
19	led	23	8	39	20	23	38	39	53
20	opamp_triangle_3pin	21	29	43	37	21	41	43	50
21	resistor	29	9	39	25	29	33	39	50
22	inductor	23	9	39	25	23	33	39	50
23	transistor_npn	1	1	15	15	1	23	15	39
24	transistor_pnp	1	1	15	15	1	23	15	39
25	transistor_npn_darlington	3	41	37	49	3	50	37	60
26	transistor_npn_darlington	3	41	37	49	3	50	37	60
27	universal	42	9	52	25	42	33	52	50
28	transistor_n_jfet	43	0	55	11	43	26	55	39
29	transistor_n_mosfet	43	0	55	11	43	26	55	39
30	transistor_p_mosfet	43	0	55	11	43	26	55	39
31	transistor_p_regulator	7	10	32	13	7	-8	32	3
32	transistor_n_regulator	7	10	32	13	7	-8	32	3
33	sinewave	29	9	39	25	29	33	39	50
