id	model	size	pinout	schematic
1	PC817	4x2	D+,D-,E,C	dip
2	741	4x4	OFS1,IN-,IN+,V-,OFS2,OUT,V+,NC	dip,dip8_opamp_single,opamp_single,opamp_single_offset
3	TL061	4x4	OFS1,IN-,IN+,V-,OFS2,OUT,V+,NC	dip,dip8_opamp_single,opamp_single,opamp_single_offset
4	TL081	4x4	OFS1,IN-,IN+,V-,OFS2,OUT,V+,NC	dip,dip8_opamp_single,opamp_single,opamp_single_offset
5	TL071	4x4	OFS1,IN-,IN+,V-,OFS2,OUT,V+,NC	dip,dip8_opamp_single,opamp_single,opamp_single_offset
6	OP27	4x4	OFS1,IN-,IN+,V-,OFS2,OUT,V+,NC	dip,dip8_opamp_single,opamp_single,opamp_single_offset
7	LM386	4x4	GAIN1,IN-,IN+,GND,OUT,VCC,BYPASS,GAIN2	dip
8	NE555	4x4	GND,TRIG,OUT,RESET,CTRL,THR,DIS,VCC	dip
9	LM258	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
10	LM358	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
11	NE5532	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
12	JRC4558	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
13	JRC4580	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
14	LM833	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
15	LF353	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
16	TL062	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
17	TL072	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
18	TL082	4x4	OUT1,IN1-,IN1+,V-,IN2+,IN2-,OUT2,V+	dip,dip8_opamp_dual,opamp_dual
19	TL064	4x7	OUT1,IN1-,IN1+,V+,IN2+,IN2-,OUT2,OUT3,IN3-,IN3+,V-,IN4+,IN4-,OUT4	dip,dip8_opamp_quad,opamp_quad
20	TL074	4x7	OUT1,IN1-,IN1+,V+,IN2+,IN2-,OUT2,OUT3,IN3-,IN3+,V-,IN4+,IN4-,OUT4	dip,dip8_opamp_quad,opamp_quad
21	TL084	4x7	OUT1,IN1-,IN1+,V+,IN2+,IN2-,OUT2,OUT3,IN3-,IN3+,V-,IN4+,IN4-,OUT4	dip,dip8_opamp_quad,opamp_quad
22	V3205D	4x7	GND,CP2,NC,NC,NC,OUT1,OUT2,VDD,CP1,NC,NC,NC,IN,VCC	dip
23	PT2399	4x8	VCC,REF,AGND,DGND,CKL_O,VCO,CC1,CC0,OP1-OUT,OP1-IN,OP2-IN,OP2-OUT,LPF2-IN,LPF2-OUT,LPF1-OUT,LPF1-IN	dip
24	CD4094	4x8	STROBE,DATA,CLK,Q1,Q2,Q3,Q4,VSS,QS1,QS2,Q8,Q7,Q6,Q5,OUT_ENABLE,VDD	dip
25	V3102	4x4	GND,CLK1,VDD,CLK2,OX3,OX2,OX1,VGG	dip
26	V571	4x8	RCAP1,RIN1,CIN1,GND,INV_IN1,R31,OUT1,THD1,THD2,OUT2,R32,INV_IN2,VCC,CIN2,RIN2,RCAP2	dip
