id	model	kind	package	pinout
1	BC547	NPN	TO-92	CBE
2	2N3904	NPN	TO-92	EBC
3	2N3906	PNP	TO-92	EBC
4	2N2222	NPN	TO-92	EBC
5	BD139	NPN	TO-126	ECB
6	BD241C	NPN	TO-220	BCE
7	BC557	PNP	TO-92	CBE
8	BC108	NPN	TO-1	CBE
9	BC338	NPN	TO-92	CBE
10	2N5401	PNP	TO-92	EBC
11	2N5551	NPN	TO-92	EBC
12	A42	NPN	TO-92	EBC
13	A92	PNP	TO-92	EBC
14	A733	PNP	TO-92	ECB
15	A1015	PNP	TO-92	ECB
16	C945	NPN	TO-92	ECB
17	C1815	NPN	TO-92	ECB
18	S8050	NPN	TO-92	EBC
19	S8550	PNP	TO-92	EBC
20	S9012	PNP	TO-92	EBC
21	S9013	NPN	TO-92	EBC
22	S9014	NPN	TO-92	EBC
23	S9015	PNP	TO-92	EBC
24	S9018	NPN	TO-92	EBC
25	MPSA12	NPN_DARLINGTON	TO-92	EBC
26	BC546	NPN	TO-92	CBE
27	MPSA06	NPN	TO-92	EBC
28	2N5088	NPN	TO-92	EBC
29	2N5089	NPN	TO-92	EBC
30	2N5306	NPN_DARLINGTON	TO-92	EBC
31	BC549	NPN	TO-92	CBE
32	2N1307	PNP	TO-5	CBE
33	2N3391	NPN	TO-92	ECB
34	BC184C	NPN	TO-92	CBE
35	BC169B	NPN	TO-92	ECB
36	BC550	NPN	TO-92	CBE
37	BC559	PNP	TO-92	CBE
38	BC560	PNP	TO-92	CBE
39	BC337	NPN	TO-92	CBE
40	BC239	NPN	TO-92	CBE
41	BC109	NPN	TO-1	CBE
42	TIP120	NPN_DARLINGTON	TO-220	BCE
43	2N2925	NPN	TO-92	EBC
44	AC176	NPN	TO-5	CBE
45	MPS8098	NPN	TO-92	EBC
46	BC213L	PNP	TO-92	EBC
47	BC183L	NPN	TO-92	ECB
48	BD136	PNP	TO-126	ECB
49	ZTX705	PNP_DARLINGTON	TO-92	EBC
50	IRF540N	N_MOSFET	TO-220	GDS
51	IRF5305	P_MOSFET	TO-220	GDS
52	IRLZ44N	N_MOSFET	TO-220	GDS
53	BS170	N_MOSFET	TO-92	DGS
54	MPSA18	NPN	TO-92	EBC
55	2N4401	NPN	TO-92	EBC
56	2N4403	PNP	TO-92	EBC
57	2N4402	PNP	TO-92	CBE
58	2N4125	PNP	TO-92	EBC
59	2N2907	PNP	TO-92	CBE
60	J201	N_JFET	TO-92	DSG
61	MPF102	N_JFET	TO-92	DSG
62	2N5457	N_JFET	TO-92	DSG
63	2N5952	N_JFET	TO-92	GSD
64	BF245A	N_JFET	TO-92	GSD
65	2SK30A	N_JFET	TO-92	SGD
66	2SK246	N_JFET	TO-92	SGD
67	2SC536	NPN	TO-92	ECB
68	78L33	P_REGULATOR	TO-92	OGI
69	78L05	P_REGULATOR	TO-92	OGI
70	78L06	P_REGULATOR	TO-92	OGI
71	78L08	P_REGULATOR	TO-92	OGI
72	78L09	P_REGULATOR	TO-92	OGI
73	78L12	P_REGULATOR	TO-92	OGI
74	78L15	P_REGULATOR	TO-92	OGI
75	79L05	N_REGULATOR	TO-92	GIO
76	79L06	N_REGULATOR	TO-92	GIO
77	79L08	N_REGULATOR	TO-92	GIO
78	79L09	N_REGULATOR	TO-92	GIO
79	79L12	N_REGULATOR	TO-92	GIO
80	79L15	N_REGULATOR	TO-92	GIO
81	L7805	P_REGULATOR	TO-220	IGO
82	L7806	P_REGULATOR	TO-220	IGO
83	L7808	P_REGULATOR	TO-220	IGO
84	L7809	P_REGULATOR	TO-220	IGO
85	L7812	P_REGULATOR	TO-220	IGO
86	L7815	P_REGULATOR	TO-220	IGO
87	L7905	N_REGULATOR	TO-220	GIO
88	L7906	N_REGULATOR	TO-220	GIO
89	L7908	N_REGULATOR	TO-220	GIO
90	L7909	N_REGULATOR	TO-220	GIO
91	L7912	N_REGULATOR	TO-220	GIO
92	L7915	N_REGULATOR	TO-220	GIO
93	LM317	P_REGULATOR	TO-220	GOI
94	NKT213	PNP	TO-1	EBC
95	NKT275	PNP	TO-1	CBE
